lemma	date	identifier	context	indexes_target_sentence
abundar	1858	old_corpus_spanish-17804-364	Fueron concluidos en 1570. Hay, por fin, tres atriles portátiles, que no dejan de ser notables, asi por ser de maderas finas, como por las labores de embutidos y relieves en que abundan. El mayor de los tres que sirven para el canto de órgano, lo hizo en 1517 un entallador conocida con el nombre de Cristiano que tambien trabajó en el Retablo de la Capilla mayor, y los otros dos menores, llamados uno de los Evangelistas por tenerlos entallados en su envés, y el otro de los Doctores, porque en igual sitio tiene los cuatro Doctores de la Iglesia latina, fueron trabajados en 1338 por Diego de Velasco que trabajó tambien en la parte interior de la puerta de los Leones.	27:186
abundar	1858	old_corpus_spanish-314696-1167	Rara vez sonaba en aquellos barrios el importuno voceo de papeles públicos por ciegos roncos o chillonas mujeres; las patadas y el relinchar de caballerías alegraban los espacios; todo era distinto del Madrid céntrico, donde el clásico rostro de España se desconoce a sí mismo por obra de los afeites que se pone, y de las muecas que hace para imitar la fisonomía de poblaciones extranjeras. Veíanse por allí contados sombreros de copa, que, según Doña Leandra, no debían usarse más que en los funerales; escasas levitas y poca ropa negra, como no fuese la de los señores curas; abundaban en cambio los sombreros bajos y redondos, los calañeses, las monteras de variada forma y los colorines en fajas, medias y refajos; y en vez del castellano relamido y desazonado que en el centro hablaban los señores, oíanse los tonos vigorosos de la lengua madre, caliente, vibrante y fiera, con las inflexiones más robustas, el silbar de las eses, el rodar de las erres, la dureza de las jotas, todo con cebolla y ajo abundantes, bien cargado de guindilla. Por lo que allí veía y oía Doña Leandra, érale Madrid menos antipático en las parroquias del Sur que en las del centro, y tan confortado sintió su espíritu algunas mañanas y tan aliviado de la nostalgia, que al pasar por algunas calles de las menos ruidosas, le parecieron tan bonitas como las de Ciudad Real, aunque no llegaban, eso no, a la suntuosidad, hermosura y despejo de las de Daimiel.	392:1045
abundar	1858	old_corpus_spanish-23288-235	—Hablaremos más despacio mañana… Puedes irte tranquilo y seguro de que sé apreciar tu lealtad… ¡Oh, Villamil!… No abundan los hombres como tú… Vamos, otro cigarrito. Diciendo esto Su Majestad, con aquella bondad peculiar, que indicaba tanta honradez y nobleza en su carácter, ofreció un cigarro a D. Juan Pérez Villamil.	111:165
abundar	1858	old_corpus_spanish-447700-231	El 30 se notaron violentísimos esfuerzos para producir una baja; pero sin resultado. París venía firme, y aquí abundaban las órdenes de compra. Torres se descolgó aquel día más risueño que nunca, tuteando al lucero del alba, echando el brazo por encima del hombro a sus amigos de este y el otro corro.	85:143
abundar	1858	old_corpus_spanish-622360-638	Y siempre que algún forastero de viso se presentaba en las augustas salas, creíanle venido a poner en duda la superioridad de la patria del ajo, o a disputarle por envidia las preeminencias incontrovertibles que Natura le concediera. Cuando Pepe Rey se presentó, recibiéronle con cierto recelo, y como en el Casino abundaba la gente graciosa, al cuarto de hora de estar allí el nuevo socio, ya se habían dicho acerca de él toda suerte de cuchufletas. Cuando a las reiteradas preguntas de los socios contestó que había venido a Orbajosa con encargo de explorar la cuenca hullera del Nahara y estudiar un camino, todos convinieron en que el señor don José era un fatuo que quería darse tono inventando criaderos de carbón y vías férreas.	234:450
abundar	1858	old_corpus_spanish-448796-380	Otras tenían los pisos en declive, y en todas ellas oíase hasta el respirar de los vecinos. En algunas se veían mezquinos arcos de fábrica para sostener el entramado de las escaleras, y abundaba tanto el yeso en la construcción como escaseaban el hierro y la madera. Eran comunes las puertas de cuarterones, los baldosines polvorosos, los cerrojos imposibles de manejar y las vidrieras emplomadas.	92:266
abundar	1858	old_corpus_spanish-19712-1464	Algo se ha hecho, no obstante: el primero, el mas difícil de los pasos se ha dado; el terreno es inseguro, pero con perseverancia y resolucion tocaremos algún dia la meta á que los estudios filosófico-artísticos se han propuesto llegar entre nosotros. La Historia de los templos de España, por la índole éspecial de su pensamiento, no es la obra llamada á desenvolver analíticamente estos obscuros problemas del arte arábigo; la multitud de distintos estudios que en ella se aglomeran y que le dan, por decirlo así, un carácter enciclopédico, harán de sus páginas un inmenso museo, propio para mostrar en conjunto, y como en un vasto panorama, todas las mas notables producciones de los diferentes estilos arquitectónicos en que abunda nuestra patria. En esta galería, el árabe se encontrará colocado en el importante lugar que le corresponde, aunque siempre teniendo presente que en el discurso de la narracion, las cuestiones de arte se hallan obligadas á dejar un espacio digno á la historia eclesiástica y política, razon poderosa por la que, sin pecar de ligereza en este asunto, pondremos un empeño particular en ser concisos.	252:751
abundar	1858	old_corpus_spanish-260424-689	Compónese toda ella de casas viejas y feas, entre las cuales descuellan la enorme fachada meridional de la del marqués de Perales y otra que tiene grabada sobre la puerta esta inscripción: Aparta, Señor, de mí lo que me apartó de ti. Contrastando con las vías cercanas, aquella no tiene tiendas, y la mayor parte de las puertas están cerradas, a excepción de las cocheras y cuadras que por allí mucho abundan. Hacia el Ave María la calle se eleva, como si quisiera subir a los balcones de las casas.	234:409
abundar	1858	old_corpus_spanish-300504-861	Aquí comían las lechugas sin aliñar, en rama; allí naranjas a bocados mordiendo la cáscara, y encima pescado frito, o a medio freír; vino sin tasa; después bollos de aceite, y lonjas de tocino con azúcar. En las mesas o tenderetes de preferencia hubo arroces quemados, arroces crudos, anguilas, pajeles, pájaros y hasta morcillas; en otros comían el cordero a medio asar, chorreando sangre, partiéndolo con las espadas, por no abundar los cuchillos. El regimiento 1.º de Tortosa tenía una murga militar de una docena de instrumentos, trombones abollados, bombo, platillos y chinesco.	205:449
abundar	1858	old_corpus_spanish-478080-357	Por lo demás, muy corriente, muy servicial, muy amigo de sus amigos, siempre en disidencia, y siempre pretendiendo y enredando. Es el tipo del pillo simpático, que aquí tanto abunda. Considera al Estado como cosa propia, y si puede despojarlo de algo, lo hace sin recelo alguno, con la conciencia tan tranquila como la de un niño.	128:182
