model	AVG-clustering	AVG-all	AP	KM-in	KM-silh	CD	PRT
old-spanish-beto-cased	0.5799476627741491	0.6017079599848009	0.6124462528773402	0.5597892400612554	0.5676074953838518	0.6284720314936171	0.6402247801079397
dccuchile/bert-base-spanish-wwm-cased	0.5832308438101017	0.6040842346328554	0.5599696943153833	0.5790336544109214	0.6106891827040003	0.6302062149564315	0.6405224267775413
old-spanish-beto-uncased	0.5578353338946268	0.5837112816130631	0.5442431437484577	0.5578594021701555	0.5714034557652672	0.6223817275191185	0.6226686788623164
dccuchile/bert-base-spanish-wwm-uncased	0.5861715489180089	0.6043176307443883	0.5915795582212526	0.5819328311329669	0.5850022573998072	0.6167244566090542	0.6463490503588607
latam-old-spanish-beto-cased	0.5871797809122804	0.6063824301714612	0.5852699954397168	0.5815380442746967	0.5947313030224275	0.6307230056321618	0.6396498024883034
latam-old-spanish-beto-uncased	0.5657860892902874	0.5890253554338273	0.5593819398380124	0.5676421579960642	0.5703341700367855	0.6222737268863908	0.6254947824118833
latam-old-spanish-mbert-cased	0.5806341639336169	0.5950899595866994	0.5692082029184624	0.5788188134167277	0.5938754754656607	0.6163402732676128	0.6172070328650332
bert-base-multilingual-cased	0.5782065641735215	0.5948656002973568	0.5675169623872501	0.5808329293152877	0.5862698008180264	0.6100000680833545	0.629708240882865
latam-old-spanish-mbert-uncased	0.559261639510508	0.5929306983501386	0.5530206256313985	0.563297608490477	0.5614666844096485	0.6405079534809504	0.6463606197382185
bert-base-multilingual-uncased	0.5761977610858136	0.6064625482489636	0.5522717898603526	0.5924378067044741	0.583883686692614	0.6456500983180642	0.6580693596693133
latam-old-spanish-albert-uncased	0.5717068705600211	0.5927798408687031	0.5730672012979192	0.5796267598133362	0.5624266505688078	0.616004957684663	0.6327736349787886
dccuchile/albert-base-spanish	0.5868701100857063	0.6132068301453953	0.5757546458963843	0.599197986405303	0.5856576979554318	0.6372550772433533	0.6681687432265045
bert-base-uncased	0.5508586354606552	0.5690591549485067	0.5690948883939898	0.5393661358564159	0.5441148821315596	0.5891585298606457	0.603561338499923
dccuchile/distilbert-base-spanish-uncased	0.5920565976149097	0.6095197667739573	0.589959718966636	0.5952477411329157	0.5909623327451774	0.6239076026747952	0.6475214383502624
mrm8488/electricidad-base-discriminator	0.5590561342974982	0.5732275079918312	0.5662816787648209	0.5537258938750307	0.557160830252643	0.5932481001572235	0.5957210369094376
dccuchile/albert-large-spanish	0.5667374396796905	0.5651181133311678	0.565992181187376	0.5651353566365894	0.5690847812151059	0.5367197104946063	0.5886585371221609
